"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 11- 12","201.43","201.02","202.10","200.71","14.78M","0.29%"
"2019- 11- 11","200.85","200.12","200.93","199.84","10.19M","-0.13%"
"2019- 11- 08","201.12","199.91","201.14","199.44","15.27M","0.40%"
"2019- 11- 07","200.32","200.65","201.61","199.75","17.83M","0.33%"
"2019- 11- 06","199.66","199.88","199.90","198.68","19.73M","-0.22%"
"2019- 11- 05","200.10","200.24","200.44","199.45","15.05M","0.06%"
"2019- 11- 04","199.99","200.08","200.42","198.76","19.02M","0.61%"
"2019- 11- 01","198.77","197.83","198.78","197.53","22.13M","0.91%"
"2019- 10- 31","196.98","197.46","197.55","195.84","26.80M","0.05%"
"2019- 10- 30","196.89","196.32","197.22","195.19","21.76M","0.48%"
"2019- 10- 29","195.94","197.14","197.43","195.91","18.57M","-0.77%"
"2019- 10- 28","197.47","196.47","197.73","196.45","18.84M","0.99%"
"2019- 10- 25","195.54","192.99","195.64","192.95","21.51M","0.80%"
"2019- 10- 24","193.99","193.52","194.11","192.64","19.26M","0.97%"
"2019- 10- 23","192.12","191.33","192.16","191.05","15.20M","0.19%"
"2019- 10- 22","191.75","193.96","194.32","191.69","22.99M","-0.80%"
"2019- 10- 21","193.29","192.55","193.42","192.04","15.87M","0.89%"
"2019- 10- 18","191.59","193.16","193.57","190.60","27.72M","-0.96%"
"2019- 10- 17","193.45","194.08","194.40","192.71","19.16M","0.26%"
"2019- 10- 16","192.94","192.78","193.43","192.33","20.69M","-0.25%"
"2019- 10- 15","193.42","191.55","193.87","191.46","23.74M","1.27%"
"2019- 10- 14","190.99","190.72","191.60","190.54","15.37M","-0.01%"
"2019- 10- 11","191.01","190.70","192.53","190.62","41.43M","1.29%"
"2019- 10- 10","188.58","187.15","189.33","187.02","26.69M","0.77%"
"2019- 10- 09","187.13","186.86","187.98","186.33","20.83M","0.98%"
"2019- 10- 08","185.32","186.91","187.76","185.17","33.20M","-1.50%"
"2019- 10- 07","188.14","188.13","189.64","187.81","21.40M","-0.30%"
"2019- 10- 04","188.71","186.89","188.98","186.78","32.75M","1.47%"
"2019- 10- 03","185.97","183.97","186.11","181.72","39.61M","1.10%"
"2019- 10- 02","183.95","185.91","187.11","182.92","48.93M","-1.72%"
"2019- 10- 01","187.17","189.44","190.49","186.86","32.67M","-0.82%"
"2019- 09- 30","188.71","187.65","189.01","187.30","26.56M","0.95%"
"2019- 09- 27","186.93","189.60","189.73","185.65","40.80M","-1.24%"
"2019- 09- 26","189.28","189.77","189.90","187.88","27.03M","-0.37%"
"2019- 09- 25","189.98","187.69","190.48","186.11","36.50M","1.12%"
"2019- 09- 24","187.87","191.27","191.69","187.05","41.10M","-1.33%"
"2019- 09- 23","190.40","190.26","190.97","189.62","22.92M","-0.16%"
"2019- 09- 20","190.70","193.01","193.21","190.06","30.13M","-1.06%"
"2019- 09- 19","192.74","192.76","193.93","192.37","26.21M","0.17%"
"2019- 09- 18","192.42","192.10","192.50","190.01","31.17M","-0.04%"
"2019- 09- 17","192.50","191.60","192.50","191.19","21.11M","0.48%"
"2019- 09- 16","191.58","191.20","191.98","191.01","20.32M","-0.45%"
"2019- 09- 13","192.44","192.85","193.30","192.19","27.67M","-0.36%"
"2019- 09- 12","193.13","193.54","194.61","192.87","28.69M","0.42%"
"2019- 09- 11","192.33","190.88","192.43","190.46","25.06M","0.94%"
"2019- 09- 10","190.54","190.09","190.64","188.81","23.74M","-0.29%"
"2019- 09- 09","191.09","192.08","192.17","190.12","24.41M","-0.21%"
"2019- 09- 06","191.49","191.93","192.07","191.07","19.49M","-0.10%"
"2019- 09- 05","191.68","190.29","192.22","190.24","34.06M","1.83%"
"2019- 09- 04","188.23","187.33","188.39","186.80","21.68M","1.44%"
"2019- 09- 03","185.55","186.16","187.08","184.93","28.03M","-0.97%"
"2019- 08- 30","187.37","188.84","188.87","186.31","26.33M","-0.24%"
"2019- 08- 29","187.82","187.27","188.36","186.58","25.43M","1.53%"
"2019- 08- 28","184.99","183.74","185.30","182.81","21.85M","0.36%"
"2019- 08- 27","184.33","185.98","186.32","183.61","28.08M","-0.21%"
"2019- 08- 26","184.72","184.09","184.77","182.98","27.69M","1.51%"
"2019- 08- 23","181.97","186.66","188.35","181.46","55.44M","-3.17%"
"2019- 08- 22","187.92","188.88","189.36","186.44","24.27M","-0.32%"
"2019- 08- 21","188.53","188.56","189.13","187.86","20.75M","0.89%"
"2019- 08- 20","186.87","187.90","188.54","186.82","19.94M","-0.78%"
"2019- 08- 19","188.33","187.93","188.73","187.40","22.57M","1.59%"
"2019- 08- 16","185.38","184.01","185.85","184.00","34.79M","1.61%"
"2019- 08- 15","182.45","183.01","183.49","181.06","36.85M","-0.11%"
"2019- 08- 14","182.66","185.21","185.85","182.32","51.00M","-2.99%"
"2019- 08- 13","188.29","184.17","189.58","183.92","40.47M","2.19%"
"2019- 08- 12","184.25","185.24","185.80","183.40","24.64M","-1.15%"
"2019- 08- 09","186.39","187.22","187.90","184.93","33.61M","-0.94%"
"2019- 08- 08","188.16","185.05","188.22","184.47","38.42M","2.18%"
"2019- 08- 07","184.15","181.22","184.41","179.80","49.99M","0.54%"
"2019- 08- 06","183.16","182.28","183.70","180.97","41.90M","1.40%"
"2019- 08- 05","180.64","183.41","183.41","179.11","75.04M","-3.53%"
"2019- 08- 02","187.25","188.72","188.89","186.11","55.21M","-1.47%"
"2019- 08- 01","190.05","191.41","194.88","189.13","63.25M","-0.50%"
"2019- 07- 31","191.00","194.21","194.33","189.22","41.63M","-1.38%"
"2019- 07- 30","193.68","193.06","194.44","192.89","18.71M","-0.43%"
"2019- 07- 29","194.52","195.08","195.08","193.29","20.45M","-0.34%"
"2019- 07- 26","195.19","194.42","195.45","194.33","20.43M","1.03%"
"2019- 07- 25","193.20","194.38","194.42","192.83","23.43M","-0.95%"
"2019- 07- 24","195.05","192.97","195.06","192.93","20.42M","0.70%"
"2019- 07- 23","193.69","193.48","193.71","192.19","23.79M","0.65%"
"2019- 07- 22","192.43","191.40","192.84","191.34","18.95M","0.80%"
"2019- 07- 19","190.91","193.72","193.73","190.71","29.39M","-0.73%"
"2019- 07- 18","192.32","191.20","192.69","190.59","29.07M","0.11%"
"2019- 07- 17","192.10","193.10","193.39","192.08","16.77M","-0.49%"
"2019- 07- 16","193.05","193.76","193.99","192.46","20.19M","-0.52%"
"2019- 07- 15","194.05","193.87","194.09","193.34","15.61M","0.32%"
"2019- 07- 12","193.43","192.53","193.44","192.35","20.21M","0.58%"
"2019- 07- 11","192.32","192.78","193.24","191.71","23.74M","-0.07%"
"2019- 07- 10","192.46","191.69","192.99","191.37","28.37M","1.00%"
"2019- 07- 09","190.56","188.69","190.80","188.55","19.19M","0.50%"
"2019- 07- 08","189.61","189.76","189.77","188.83","17.60M","-0.70%"
"2019- 07- 05","190.95","190.05","191.30","189.29","21.42M","-0.20%"
"2019- 07- 03","191.34","190.35","191.34","190.19","15.79M","0.75%"
"2019- 07- 02","189.91","189.09","189.93","188.56","18.04M","0.40%"
"2019- 07- 01","189.16","190.20","190.47","188.28","31.19M","1.35%"
"2019- 06- 28","186.64","186.85","187.05","185.97","21.18M","0.13%"
"2019- 06- 27","186.40","186.37","186.84","185.89","19.71M","0.38%"
"2019- 06- 26","185.69","186.03","187.23","185.39","22.60M","0.47%"
"2019- 06- 25","184.83","187.96","188.04","184.55","33.92M","-1.72%"
"2019- 06- 24","188.06","188.42","188.62","187.96","19.38M","-0.22%"
"2019- 06- 21","188.47","188.47","189.67","188.07","39.98M","-0.15%"
"2019- 06- 20","188.75","189.62","189.66","187.06","40.92M","0.93%"
"2019- 06- 19","187.01","186.63","187.43","185.47","31.67M","0.38%"
"2019- 06- 18","186.31","185.78","187.62","185.33","48.18M","1.45%"
"2019- 06- 17","183.64","182.91","184.15","182.74","20.38M","0.60%"
"2019- 06- 14","182.54","182.34","183.01","181.84","22.84M","-0.43%"
"2019- 06- 13","183.32","183.02","183.77","182.64","23.72M","0.59%"
"2019- 06- 12","182.24","182.78","183.18","181.90","27.76M","-0.58%"
"2019- 06- 11","183.30","184.97","185.30","182.68","41.26M","0.14%"
"2019- 06- 10","183.05","182.13","184.75","182.11","41.39M","1.17%"
"2019- 06- 07","180.94","178.41","181.67","178.24","45.89M","1.93%"
"2019- 06- 06","177.52","176.43","177.95","175.64","29.91M","0.79%"
"2019- 06- 05","176.12","176.51","176.52","174.29","34.41M","0.74%"
"2019- 06- 04","174.82","171.89","174.88","171.28","47.80M","2.82%"
"2019- 06- 03","170.03","173.43","173.86","169.18","75.84M","-2.20%"
"2019- 05- 31","173.86","174.62","175.20","173.78","45.45M","-1.60%"
"2019- 05- 30","176.68","176.45","177.18","175.68","30.35M","0.42%"
"2019- 05- 29","175.94","176.36","176.91","175.00","42.18M","-0.82%"
"2019- 05- 28","177.40","178.58","179.57","177.38","24.76M","-0.38%"
