"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 17","92.04","92.33","92.91","91.17","34.58M","-1.34%"
"2024- 12- 16","93.29","90.72","93.79","90.67","34.98M","4.35%"
"2024- 12- 13","89.40","89.42","90.77","87.85","39.83M","2.15%"
"2024- 12- 12","87.52","88.13","88.77","87.28","33.17M","-1.98%"
"2024- 12- 11","89.29","86.88","89.62","86.68","37.45M","5.34%"
"2024- 12- 10","84.76","86.25","87.12","84.05","35.77M","-1.09%"
"2024- 12- 09","85.69","87.25","87.66","85.08","34.79M","-2.34%"
"2024- 12- 06","87.74","85.78","87.86","85.72","31.37M","2.57%"
"2024- 12- 05","85.54","86.25","86.64","85.34","27.01M","-0.82%"
"2024- 12- 04","86.25","84.87","86.37","84.51","35.00M","3.65%"
"2024- 12- 03","83.21","81.80","83.33","81.53","42.41M","0.89%"
"2024- 12- 02","82.48","80.48","82.95","80.29","36.82M","3.24%"
"2024- 11- 29","79.89","78.13","80.17","77.85","20.43M","2.55%"
"2024- 11- 27","77.90","79.29","79.31","76.33","39.23M","-2.42%"
"2024- 11- 26","79.83","79.29","80.25","78.89","34.87M","1.55%"
"2024- 11- 25","78.61","80.16","80.87","77.54","45.76M","0.46%"
"2024- 11- 22","78.25","77.64","78.61","76.88","39.97M","0.37%"
"2024- 11- 21","77.96","78.55","78.88","74.56","54.93M","0.98%"
"2024- 11- 20","77.20","77.15","77.29","74.11","50.63M","-0.12%"
"2024- 11- 19","77.29","74.55","77.55","74.42","40.04M","2.01%"
"2024- 11- 18","75.77","74.93","76.74","74.31","38.98M","2.02%"
"2024- 11- 15","74.27","77.27","77.45","73.29","60.30M","-7.23%"
"2024- 11- 14","80.06","81.59","82.03","79.62","38.83M","-2.12%"
"2024- 11- 13","81.79","81.86","83.09","80.68","37.50M","-0.44%"
"2024- 11- 12","82.15","82.54","82.97","80.65","34.14M","-0.54%"
"2024- 11- 11","82.60","83.33","83.43","81.18","35.40M","-0.18%"
"2024- 11- 08","82.75","82.22","83.11","81.91","35.03M","0.24%"
"2024- 11- 07","82.55","80.16","82.93","80.10","49.77M","4.68%"
"2024- 11- 06","78.86","76.66","79.22","76.19","59.40M","8.12%"
"2024- 11- 05","72.94","70.95","73.24","70.92","39.68M","3.80%"
"2024- 11- 04","70.27","70.64","71.75","69.51","41.11M","-0.93%"
"2024- 11- 01","70.93","70.08","72.36","69.97","48.34M","2.13%"
"2024- 10- 31","69.45","73.31","73.33","69.43","69.45M","-7.61%"
"2024- 10- 30","75.17","76.55","76.98","74.94","40.24M","-2.22%"
"2024- 10- 29","76.88","74.93","77.46","74.07","39.27M","2.77%"
"2024- 10- 28","74.81","76.19","76.19","74.66","34.58M","0.09%"
"2024- 10- 25","74.74","74.70","77.00","74.39","57.41M","1.69%"
"2024- 10- 24","73.50","73.42","73.80","72.24","39.31M","2.38%"
"2024- 10- 23","71.79","74.17","74.47","70.28","59.09M","-4.62%"
"2024- 10- 22","75.27","73.81","75.95","73.46","38.15M","0.29%"
"2024- 10- 21","75.05","74.06","75.42","73.18","37.50M","0.55%"
"2024- 10- 18","74.64","74.46","75.15","74.13","32.08M","1.77%"
"2024- 10- 17","73.34","75.58","75.60","73.25","48.85M","0.30%"
"2024- 10- 16","73.12","73.24","73.49","71.67","35.39M","-0.05%"
"2024- 10- 15","73.16","76.35","76.65","72.14","53.15M","-3.99%"
