날짜,종가,시가,고가,저가,거래량,변동 %
2010-02-11,0.24,0.24,0.24,0.24,0,0.0%
2010-02-10 00:00:00,0.24,0.24,0.24,0.24,0,0.0%
2010-02-09 00:00:00,0.24,0.24,0.24,0.24,0,0.0%
2010-02-08 00:00:00,0.23,0.23,0.23,0.23,0,-4.17%
2010-02-05 00:00:00,0.24,0.24,0.24,0.24,0,4.35%
2010-02-04 00:00:00,0.23,0.23,0.23,0.23,0,-4.17%
2010-02-03 00:00:00,0.26,0.26,0.26,0.26,0,13.04%
2010-02-02 00:00:00,0.25,0.25,0.25,0.25,0,-3.85%
2010-02-01 00:00:00,0.24,0.24,0.24,0.24,0,-4.0%
2010-01-29 00:00:00,0.24,0.24,0.24,0.24,0,0.0%
2010-01-28 00:00:00,0.25,0.25,0.25,0.25,0,4.17%
2010-01-27 00:00:00,0.27,0.27,0.27,0.27,0,8.0%
2010-01-26 00:00:00,0.26,0.26,0.26,0.26,0,-3.7%
2010-01-25 00:00:00,0.26,0.26,0.26,0.26,0,0.0%
2010-01-22 00:00:00,0.26,0.26,0.26,0.26,0,0.0%
2010-01-21 00:00:00,0.29,0.29,0.29,0.29,0,11.54%
2010-01-20 00:00:00,0.29,0.29,0.29,0.29,0,0.0%
2010-01-19 00:00:00,0.31,0.31,0.31,0.31,0,6.9%
2010-01-15 00:00:00,0.29,0.29,0.29,0.29,0,-6.45%
2010-01-14 00:00:00,0.3,0.3,0.3,0.3,0,3.45%
2010-01-13 00:00:00,0.3,0.3,0.3,0.3,0,0.0%
2010-01-12 00:00:00,0.29,0.29,0.29,0.29,0,-3.33%
2010-01-11 00:00:00,0.3,0.3,0.3,0.3,0,3.45%
2010-01-08 00:00:00,0.31,0.31,0.31,0.31,0,3.33%
2010-01-07 00:00:00,0.3,0.3,0.3,0.3,0,-3.23%
2010-01-06 00:00:00,0.3,0.3,0.3,0.3,0,0.0%
2010-01-05 00:00:00,0.3,0.3,0.3,0.3,0,0.0%
2010-01-04 00:00:00,0.3,0.3,0.3,0.3,0,0.0%
2009-12-31 00:00:00,0.29,0.29,0.29,0.29,0,-3.33%
2009-12-30 00:00:00,0.3,0.3,0.3,0.3,0,3.45%
2009-12-29 00:00:00,0.3,0.3,0.3,0.3,0,0.0%
2009-12-28 00:00:00,0.3,0.3,0.3,0.3,0,0.0%
2009-12-24 00:00:00,0.3,0.3,0.3,0.3,0,0.0%
2009-12-23 00:00:00,0.29,0.29,0.29,0.29,0,-3.33%
2009-12-22 00:00:00,0.28,0.28,0.28,0.28,0,-3.45%
2009-12-21 00:00:00,0.28,0.28,0.28,0.28,0,0.0%
2009-12-18 00:00:00,0.27,0.27,0.27,0.27,0,-3.57%
2009-12-17 00:00:00,0.26,0.26,0.26,0.26,0,-3.7%
2009-12-16 00:00:00,0.27,0.27,0.27,0.27,0,3.85%
2009-12-15 00:00:00,0.27,0.27,0.27,0.27,0,0.0%
2009-12-14 00:00:00,0.27,0.27,0.27,0.27,0,0.0%
2009-12-11 00:00:00,0.26,0.26,0.26,0.26,0,-3.7%
2009-12-10 00:00:00,0.27,0.27,0.27,0.27,0,3.85%
2009-12-09 00:00:00,0.26,0.26,0.26,0.26,0,-3.7%
2009-12-08 00:00:00,0.25,0.25,0.25,0.25,0,-3.85%
2009-12-07 00:00:00,0.26,0.26,0.26,0.26,0,4.0%
2009-12-04 00:00:00,0.26,0.26,0.26,0.26,0,0.0%
2009-12-03 00:00:00,0.26,0.26,0.26,0.26,0,0.0%
2009-12-02 00:00:00,0.26,0.26,0.26,0.26,0,0.0%
