"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 13","97.46","98.47","98.85","96.75","2.76M","-0.14%"
"2024- 12- 12","97.60","98.68","98.95","97.58","2.46M","-1.59%"
"2024- 12- 11","99.18","98.32","99.61","98.18","2.33M","2.31%"
"2024- 12- 10","96.94","98.16","98.33","96.60","2.31M","-0.94%"
"2024- 12- 09","97.86","99.34","99.43","97.57","3.33M","-1.63%"
"2024- 12- 06","99.48","99.25","100.06","99.05","2.90M","0.53%"
"2024- 12- 05","98.96","99.44","99.86","98.79","2.10M","-0.48%"
"2024- 12- 04","99.44","98.49","99.58","98.18","3.11M","1.81%"
"2024- 12- 03","97.67","97.48","97.81","96.95","2.11M","0.05%"
"2024- 12- 02","97.62","97.28","97.91","97.03","2.39M","0.59%"
"2024- 11- 29","97.05","95.69","97.47","95.59","1.80M","1.74%"
"2024- 11- 27","95.39","96.21","96.37","94.66","2.69M","-1.03%"
"2024- 11- 26","96.38","95.45","96.67","95.14","3.25M","1.60%"
"2024- 11- 25","94.86","95.83","96.47","93.77","4.13M","0.98%"
"2024- 11- 22","93.94","93.10","94.26","92.87","2.98M","0.83%"
"2024- 11- 21","93.17","93.07","93.85","90.29","4.94M","1.55%"
"2024- 11- 20","91.75","91.70","91.86","88.99","3.97M","0.05%"
"2024- 11- 19","91.70","89.08","92.01","88.78","3.64M","1.09%"
"2024- 11- 18","90.71","89.83","91.32","89.41","3.08M","1.22%"
"2024- 11- 15","89.62","91.53","91.74","88.73","5.04M","-3.94%"
"2024- 11- 14","93.30","95.20","95.44","92.97","3.27M","-1.96%"
"2024- 11- 13","95.17","95.24","96.15","94.11","3.61M","0.13%"
"2024- 11- 12","95.05","95.93","96.21","93.84","3.53M","-0.97%"
"2024- 11- 11","95.98","96.53","96.66","95.15","2.86M","0.21%"
"2024- 11- 08","95.78","94.76","96.40","94.76","3.73M","1.27%"
"2024- 11- 07","94.58","93.44","95.08","93.38","3.85M","2.25%"
"2024- 11- 06","92.50","91.67","92.89","89.97","7.14M","7.45%"
"2024- 11- 05","86.09","83.52","86.10","83.41","3.21M","3.61%"
"2024- 11- 04","83.09","83.71","84.29","82.26","3.36M","-0.68%"
"2024- 11- 01","83.66","83.80","85.64","83.49","4.41M","1.21%"
"2024- 10- 31","82.66","85.86","85.89","82.62","6.46M","-5.96%"
"2024- 10- 30","87.90","88.51","89.42","87.57","3.11M","-0.91%"
"2024- 10- 29","88.71","87.86","89.25","87.21","2.84M","0.43%"
"2024- 10- 28","88.33","89.12","89.14","88.20","2.91M","0.90%"
"2024- 10- 25","87.54","88.69","90.02","87.12","4.65M","-0.19%"
"2024- 10- 24","87.71","88.09","88.10","86.54","3.37M","0.62%"
"2024- 10- 23","87.17","88.69","88.90","85.53","4.29M","-2.81%"
"2024- 10- 22","89.69","88.63","90.21","88.33","2.80M","-0.21%"
"2024- 10- 21","89.88","89.98","90.42","88.46","3.37M","-0.48%"
"2024- 10- 18","90.31","90.11","90.70","89.42","2.21M","1.03%"
"2024- 10- 17","89.39","91.04","91.12","89.31","3.48M","0.02%"
"2024- 10- 16","89.37","88.24","89.62","87.88","2.68M","1.22%"
"2024- 10- 15","88.29","90.50","90.65","87.71","4.60M","-2.32%"
"2024- 10- 14","90.39","88.99","90.82","88.83","2.98M","2.46%"
"2024- 10- 11","88.22","86.65","88.57","86.60","2.94M","1.65%"
"2024- 10- 10","86.79","86.66","87.44","86.05","3.30M","-0.55%"
"2024- 10- 09","87.27","85.50","87.54","85.24","3.55M","2.03%"
"2024- 10- 08","85.53","84.30","85.78","83.93","3.05M","2.78%"
"2024- 10- 07","83.22","84.77","85.06","82.67","4.66M","-2.69%"
"2024- 10- 04","85.52","85.27","85.71","83.43","4.98M","2.62%"
"2024- 10- 03","83.34","83.17","84.23","82.33","3.96M","-0.56%"
"2024- 10- 02","83.81","83.33","84.30","82.25","3.10M","0.01%"
"2024- 10- 01","83.80","85.91","85.93","82.58","5.91M","-2.77%"
"2024- 09- 30","86.19","84.61","86.37","83.58","3.36M","1.29%"
"2024- 09- 27","85.09","85.98","86.35","84.66","3.15M","-0.56%"
"2024- 09- 26","85.57","86.51","86.63","84.49","3.76M","1.21%"
"2024- 09- 25","84.55","85.09","85.41","84.07","3.04M","-0.98%"
"2024- 09- 24","85.39","85.02","85.42","83.75","3.47M","0.85%"
"2024- 09- 23","84.67","84.55","84.99","84.01","3.15M","0.77%"
"2024- 09- 20","84.02","83.95","84.56","82.73","4.09M","-0.67%"
"2024- 09- 19","84.59","84.63","85.42","83.38","5.08M","5.08%"
"2024- 09- 18","80.50","81.53","83.67","80.28","5.70M","-0.96%"
"2024- 09- 17","81.28","82.15","82.79","80.28","3.49M","0.09%"
"2024- 09- 16","81.21","80.71","81.30","79.93","2.64M","0.47%"
"2024- 09- 13","80.83","79.88","81.29","79.77","4.02M","1.47%"
"2024- 09- 12","79.66","77.99","79.81","77.02","4.56M","2.52%"
"2024- 09- 11","77.70","75.40","78.14","71.77","6.82M","3.01%"
"2024- 09- 10","75.43","75.26","75.60","73.24","3.43M","1.28%"
"2024- 09- 09","74.48","73.81","75.01","73.00","4.16M","3.27%"
"2024- 09- 06","72.12","76.09","76.77","71.72","7.08M","-5.12%"
"2024- 09- 05","76.01","76.54","77.77","74.97","4.48M","-0.73%"
"2024- 09- 04","76.57","76.29","78.06","76.00","5.22M","-0.74%"
"2024- 09- 03","77.14","80.79","80.95","76.00","6.60M","-6.16%"
"2024- 08- 30","82.20","80.99","82.45","79.43","4.15M","2.71%"
"2024- 08- 29","80.03","80.90","82.34","79.56","5.46M","-0.05%"
"2024- 08- 28","80.07","81.36","81.53","78.64","3.51M","-1.77%"
"2024- 08- 27","81.51","80.61","81.73","80.13","2.65M","0.42%"
"2024- 08- 26","81.17","82.24","82.57","80.47","3.30M","-0.78%"
"2024- 08- 23","81.81","80.75","82.24","79.77","5.12M","3.06%"
"2024- 08- 22","79.38","82.16","82.42","78.85","4.35M","-2.43%"
"2024- 08- 21","81.36","80.94","81.97","80.19","3.54M","1.08%"
"2024- 08- 20","80.49","80.72","81.46","79.93","2.81M","-0.54%"
"2024- 08- 19","80.93","78.87","80.93","78.52","3.30M","2.87%"
"2024- 08- 16","78.67","77.50","79.01","77.43","3.26M","0.52%"
"2024- 08- 15","78.26","76.78","78.38","76.57","4.32M","5.08%"
"2024- 08- 14","74.48","74.14","74.96","72.97","4.93M","0.96%"
"2024- 08- 13","73.77","71.63","73.88","71.53","4.38M","4.91%"
"2024- 08- 12","70.32","70.70","71.32","69.43","5.03M","0.11%"
"2024- 08- 09","70.24","69.02","70.85","68.53","4.32M","1.22%"
"2024- 08- 08","69.39","66.90","69.65","66.10","4.36M","6.90%"
"2024- 08- 07","64.91","68.69","69.86","64.70","6.43M","-2.10%"
"2024- 08- 06","66.30","65.21","69.13","64.68","8.45M","2.74%"
"2024- 08- 05","64.53","62.21","67.01","61.71","13.29M","-8.82%"
"2024- 08- 02","70.77","71.91","72.44","68.97","11.94M","-5.65%"
"2024- 08- 01","75.01","79.10","80.06","73.50","9.59M","-4.12%"
"2024- 07- 31","78.23","77.60","79.47","77.04","6.04M","4.67%"
"2024- 07- 30","74.74","76.54","76.98","73.30","4.35M","-1.54%"
"2024- 07- 29","75.91","76.46","76.90","75.08","4.32M","0.09%"
"2024- 07- 26","75.84","74.95","76.96","74.63","5.80M","3.30%"
"2024- 07- 25","73.42","74.65","77.18","73.06","9.37M","-1.63%"
"2024- 07- 24","74.64","77.93","78.09","74.23","7.67M","-6.84%"
"2024- 07- 23","80.12","80.46","81.42","79.91","3.71M","-0.52%"
"2024- 07- 22","80.54","79.83","80.79","78.98","5.23M","3.11%"
"2024- 07- 19","78.11","79.61","80.34","77.68","4.25M","-2.11%"
"2024- 07- 18","79.79","82.40","82.84","78.85","5.76M","-2.37%"
"2024- 07- 17","81.73","82.56","83.35","81.59","4.55M","-4.26%"
"2024- 07- 16","85.37","84.47","85.48","84.12","3.12M","1.75%"
"2024- 07- 15","83.90","84.12","85.36","83.06","8.54M","0.82%"
"2024- 07- 12","83.22","82.21","84.87","82.05","4.66M","1.79%"
"2024- 07- 11","81.76","84.01","84.40","81.48","5.67M","-2.57%"
"2024- 07- 10","83.92","82.11","84.13","81.98","2.50M","2.88%"
"2024- 07- 09","81.57","81.77","82.17","81.46","2.15M","0.25%"
"2024- 07- 08","81.37","81.48","81.80","80.89","2.53M","0.31%"
"2024- 07- 05","81.12","79.90","81.31","79.60","3.21M","1.68%"
"2024- 07- 03","79.78","78.63","79.97","78.62","1.89M","1.26%"
"2024- 07- 02","78.79","76.60","78.82","76.55","2.93M","1.95%"
"2024- 07- 01","77.28","77.42","77.51","76.11","3.27M","0.57%"
"2024- 06- 28","76.84","78.11","79.43","76.31","5.32M","-1.26%"
"2024- 06- 27","77.82","77.41","78.10","77.10","2.53M","0.37%"
"2024- 06- 26","77.53","76.73","77.81","76.45","2.26M","0.12%"
"2024- 06- 25","77.44","77.12","77.63","76.47","2.58M","1.11%"
"2024- 06- 24","76.59","77.28","78.40","76.57","3.76M","-0.79%"
"2024- 06- 21","77.20","77.35","77.88","76.78","3.25M","-0.71%"
"2024- 06- 20","77.75","78.84","79.12","77.02","3.86M","-0.88%"
"2024- 06- 18","78.44","77.89","78.51","77.71","2.50M","0.73%"
"2024- 06- 17","77.87","75.80","78.47","75.59","3.22M","2.35%"
"2024- 06- 14","76.08","75.34","76.13","74.89","2.77M","0.01%"
"2024- 06- 13","76.07","76.35","76.41","74.86","2.71M","0.62%"
"2024- 06- 12","75.60","75.73","76.75","75.19","6.02M","2.44%"
"2024- 06- 11","73.80","72.67","73.85","71.82","2.73M","0.68%"
"2024- 06- 10","73.30","72.30","73.45","72.05","2.62M","0.91%"
"2024- 06- 07","72.64","72.55","73.86","72.07","4.63M","-0.48%"
"2024- 06- 06","72.99","73.17","73.33","72.21","3.18M","-0.04%"
"2024- 06- 05","73.02","71.49","73.05","70.65","4.37M","3.55%"
"2024- 06- 04","70.52","69.80","70.85","69.17","4.97M","0.26%"
"2024- 06- 03","70.34","70.84","70.88","68.26","6.77M","0.24%"
"2024- 05- 31","70.17","68.70","70.26","66.65","6.66M","2.63%"
"2024- 05- 30","68.37","69.15","69.42","67.89","4.03M","-2.05%"
"2024- 05- 29","69.80","69.61","70.29","69.51","3.80M","-2.16%"
"2024- 05- 28","71.34","71.52","71.60","70.24","3.83M","0.18%"
"2024- 05- 24","71.21","70.59","71.53","70.18","4.31M","1.99%"
"2024- 05- 23","69.82","72.68","72.72","69.33","6.52M","-2.32%"
"2024- 05- 22","71.48","71.85","72.13","70.60","3.88M","-0.91%"
"2024- 05- 21","72.14","71.30","72.22","71.24","2.21M","0.68%"
"2024- 05- 20","71.65","71.45","72.26","71.29","2.67M","0.29%"
"2024- 05- 17","71.44","71.17","71.46","70.58","2.85M","0.39%"
"2024- 05- 16","71.16","71.64","72.30","71.10","3.28M","-0.67%"
"2024- 05- 15","71.64","70.10","71.79","69.85","4.51M","3.66%"
"2024- 05- 14","69.11","68.26","69.33","68.04","3.55M","1.35%"
"2024- 05- 13","68.19","68.86","68.89","67.74","2.34M","-0.06%"
"2024- 05- 10","68.23","68.58","68.92","67.72","3.42M","0.43%"
"2024- 05- 09","67.94","66.89","67.97","66.61","2.88M","1.62%"
"2024- 05- 08","66.86","66.12","67.08","66.08","2.14M","-0.04%"
"2024- 05- 07","66.89","67.05","67.44","66.61","3.94M","0.30%"
"2024- 05- 06","66.69","65.63","66.69","65.45","3.54M","3.09%"
"2024- 05- 03","64.69","64.66","65.17","63.69","5.39M","3.72%"
"2024- 05- 02","62.37","62.09","62.70","60.39","4.89M","2.75%"
"2024- 05- 01","60.70","61.13","63.63","60.58","8.51M","-1.14%"
"2024- 04- 30","61.40","63.84","64.25","61.39","5.12M","-4.72%"
"2024- 04- 29","64.44","64.50","64.72","63.41","3.58M","0.97%"
"2024- 04- 26","63.82","63.10","64.41","62.87","4.98M","2.89%"
"2024- 04- 25","62.03","60.43","62.35","59.84","7.45M","-1.35%"
"2024- 04- 24","62.88","63.29","63.56","62.00","5.81M","-0.08%"
"2024- 04- 23","62.93","61.56","63.12","61.36","6.31M","3.59%"
"2024- 04- 22","60.75","60.15","61.78","59.28","7.13M","2.69%"
"2024- 04- 19","59.16","60.76","61.13","58.74","8.06M","-2.67%"
"2024- 04- 18","60.78","61.73","62.52","60.47","9.43M","-0.78%"
"2024- 04- 17","61.26","63.30","63.36","60.73","9.68M","-1.78%"
"2024- 04- 16","62.37","62.92","63.50","61.90","8.83M","-0.64%"
"2024- 04- 15","62.77","66.85","66.92","62.43","9.21M","-3.73%"
"2024- 04- 12","65.20","66.62","67.19","64.54","7.45M","-4.26%"
"2024- 04- 11","68.10","67.17","68.65","65.79","6.51M","2.13%"
"2024- 04- 10","66.68","66.38","67.45","65.84","8.94M","-2.94%"
"2024- 04- 09","68.70","69.20","69.29","66.77","5.65M","0.35%"
"2024- 04- 08","68.46","68.70","69.10","68.19","8.05M","0.09%"
"2024- 04- 05","68.40","66.90","69.21","66.72","8.07M","3.11%"
"2024- 04- 04","66.34","70.54","70.68","66.25","7.97M","-3.81%"
"2024- 04- 03","68.97","68.31","69.58","68.28","5.57M","0.29%"
"2024- 04- 02","68.77","68.53","68.82","67.82","5.25M","-2.02%"
"2024- 04- 01","70.19","70.81","71.03","69.65","8.05M","-0.51%"
"2024- 03- 28","70.55","70.59","71.15","70.43","3.90M","-0.06%"
"2024- 03- 27","70.59","70.03","70.61","69.13","5.11M","2.54%"
"2024- 03- 26","68.84","69.94","70.07","68.77","7.74M","-0.84%"
"2024- 03- 25","69.42","69.38","69.83","69.30","8.51M","-0.84%"
"2024- 03- 22","70.01","70.33","70.54","69.88","3.53M","-0.47%"
"2024- 03- 21","70.34","70.88","71.16","70.29","5.47M","0.85%"
"2024- 03- 20","69.75","67.94","69.83","67.64","5.93M","2.51%"
"2024- 03- 19","68.04","66.67","68.14","66.25","5.57M","1.67%"
"2024- 03- 18","66.92","67.36","67.95","66.74","9.73M","1.79%"
"2024- 03- 15","65.74","65.97","66.53","65.22","6.36M","-2.17%"
"2024- 03- 14","67.20","68.02","68.06","65.97","6.77M","-0.69%"
"2024- 03- 13","67.67","68.12","68.20","67.10","5.12M","-0.53%"
"2024- 03- 12","68.03","66.74","68.25","65.73","8.33M","3.20%"
"2024- 03- 11","65.92","65.60","66.14","64.84","8.91M","-0.33%"
"2024- 03- 08","66.14","67.62","68.69","65.89","11.48M","-1.85%"
"2024- 03- 07","67.39","66.69","67.78","66.34","5.96M","2.90%"
"2024- 03- 06","65.49","65.79","66.36","64.97","6.77M","1.55%"
"2024- 03- 05","64.49","65.71","65.89","63.63","6.02M","-3.04%"
"2024- 03- 04","66.51","66.42","67.28","66.42","3.64M","-0.39%"
"2024- 03- 01","66.77","65.29","66.95","65.14","6.46M","2.82%"
